node1,node2,size
2827419,2520918,180
2827419,1411728,180
2827419,3214993,180
2827419,1858095,180
2827419,2921373,180
2827419,1563903,180
2827419,2474204,180
1224985,2827419,180
1224985,1324672,180
1224985,3939919,180
1224985,1885439,180
1224985,2729594,180
1224985,1983280,180
1224985,2084799,180
1224985,2486535,180
1224985,728004,180
1224985,1901034,180
1224985,2520918,180
1224985,1411728,180
1224985,3214993,180
1224985,1858095,180
1224985,2921373,180
1224985,1563903,180
1224985,2474204,180
3939919,2827419,180
3939919,1224985,180
3939919,1324672,180
3939919,1885439,180
3939919,2729594,180
3939919,1983280,180
3939919,2084799,180
3939919,2486535,180
3939919,728004,180
3939919,1901034,180
3939919,2520918,180
3939919,1411728,180
3939919,3214993,180
3939919,1858095,180
3939919,2921373,180
3939919,1563903,180
3939919,2474204,180
1885439,2827419,180
1885439,1224985,180
1885439,1324672,180
1885439,3939919,180
1885439,2729594,180
1885439,1983280,180
